,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20,time21,time22,time23,time24
Gen1,200,150,150,150,190.1633568,279.401025,324.0198591,368.6386931,417.7194106,455,455,455,455,417.7194106,368.6386931,234.7821909,190.1633568,279.401025,368.6386931,455,400,200,0,0
Gen2,200,315,415,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455
Gen3,100,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
Gen4,100,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
Gen5,100,25,25,85,94.83664318,105.598975,110.9801409,116.3613069,122.2805894,162,162,162,162,122.2805894,116.3613069,100.2178091,94.83664318,105.598975,116.3613069,162,130,140,140,65
Gen6,0,0,0,0,0,0,0,0,20,33,73,80,33,20,0,0,0,0,0,33,20,20,20,20
Gen7,0,0,0,0,0,0,0,0,25,25,25,25,25,25,0,0,0,0,0,25,25,25,25,
Gen8,0,0,0,0,0,0,0,0,0,10,10,43,0,0,0,0,0,0,0,10,10,0,0,0
Gen9,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0
Gen10,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0
